State,County,ICU Beds,Total Population,Population Aged 60+,Percent of Population Aged 60+,Residents Aged 60+ Per Each ICU Bed
South Carolina,Lancaster,20,86544,22468,26,1123
South Carolina,Laurens,8,66508,16065,24.2,2008
South Carolina,Lee,0,17897,4150,23.2,null
South Carolina,Lexington,55,281870,59280,21,1078
South Carolina,McCormick,0,9694,3905,40.3,null
South Carolina,Marion,10,31765,8483,26.7,848
South Carolina,Marlboro,0,27505,6373,23.2,null
South Carolina,Newberry,7,37914,9371,24.7,1339
South Carolina,Oconee,12,75926,22702,29.9,1892
South Carolina,Orangeburg,20,89116,22393,25.1,1120
South Carolina,Pickens,15,121449,25531,21,1702
South Carolina,Richland,211,404869,68651,17,325
South Carolina,Saluda,0,20228,4901,24.2,null
South Carolina,Spartanburg,39,297732,63159,21.2,1619
South Carolina,Sumter,17,107379,22798,21.2,1341
South Carolina,Union,6,27772,7465,26.9,1244
South Carolina,Williamsburg,4,32256,8243,25.6,2061
South Carolina,York,24,251664,48997,19.5,2042
South Dakota,Aurora,0,2739,732,26.7,null
South Dakota,Beadle,6,18163,4501,24.8,750
South Dakota,Bennett,0,3440,601,17.5,null
South Dakota,Bon Homme,0,6972,1925,27.6,null
South Dakota,Brookings,0,33697,5479,16.3,null
South Dakota,Brown,10,38637,8651,22.4,865
South Dakota,Brule,0,5280,1351,25.6,null
South Dakota,Buffalo,0,2048,240,11.7,null
South Dakota,Butte,0,10194,2751,27,null
South Dakota,Campbell,0,1443,487,33.7,null
South Dakota,Charles Mix,0,9319,2183,23.4,null
South Dakota,Clark,0,3642,1071,29.4,null
South Dakota,Clay,0,13907,2187,15.7,null
South Dakota,Codington,8,27963,6325,22.6,791
South Dakota,Corson,0,4177,665,15.9,null
South Dakota,Custer,0,8519,3144,36.9,null
South Dakota,Davison,8,19753,4889,24.8,611
South Dakota,Day,0,5524,1761,31.9,null
South Dakota,Deuel,0,4282,1232,28.8,null
South Dakota,Dewey,0,5709,776,13.6,null
South Dakota,Douglas,0,2940,884,30.1,null
South Dakota,Edmunds,0,3971,1113,28,null
South Dakota,Fall River,0,6783,2370,34.9,null
South Dakota,Faulk,0,2327,716,30.8,null
South Dakota,Grant,0,7133,2044,28.7,null
South Dakota,Gregory,0,4209,1353,32.1,null
South Dakota,Haakon,0,2084,605,29,null
South Dakota,Hamlin,0,5911,1301,22,null
